"Package","Version (EDI)","Updated","Dataset","Start Date","End Date"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Air Temp (daily min max)","1969-06-26","2026-05-14"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Air Temp (hourly mean)","2009-01-01","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Air Pressure (15min)","2011-11-02","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Humidity (hourly)","2007-01-01","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Wind Speed & Dir (hourly)","1969-06-26","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Total Solar Radiation (15min)","2012-11-09","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Bright Sunshine (15min)","2018-04-26","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","Solar PAR (air)","1973-04-30","2026-05-21"
"⛅ Atmospheric Conditions","2261.2","2026-06-16","UVAB (15min)","2023-07-14","2026-05-21"
"🌧️ Precipitation and Evaporation","2262.2","2026-06-16","Precipitation (daily)","1969-06-27","2025-12-31"
"🌧️ Precipitation and Evaporation","2262.2","2026-06-16","Precipitation (hourly)","2009-05-01","2026-05-21"
"🌧️ Precipitation and Evaporation","2262.2","2026-06-16","Snowpack (daily)","1969-10-14","2026-05-12"
"🌧️ Precipitation and Evaporation","2262.2","2026-06-16","Evaporation (daily)","1969-06-27","2025-11-03"
"🛁 Bathymetry","1276.6","2026-01-16","Bathymetry Tables & Maps","N/A","N/A"
"🧊 Ice Phenology & Thickness","1785.3","2025-08-14","Ice Phenology","1969-04-27","2025-05-04"
"🧊 Ice Phenology & Thickness","1785.3","2025-08-14","Ice Thickness","1969-12-10","2025-03-27"
"⚗️ Chemistry of LTER Lakes","1818.3","2026-07-16","Chem of LTER Lakes","1968-06-14","2025-11-05"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Stream Flow (daily mean)","1969-03-27","2025-12-31"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Stream Flow (hourly mean)","2001-04-04","2025-12-31"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Stream Temperature (hourly mean)","2016-07-22","2025-11-06"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Lake Level (daily mean)","1969-05-17","2025-12-31"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Lake Level (hourly mean)","2006-04-12","2025-12-31"
"🌊 Stream Flow, Stream Temperature, Stream Chemistry and Lake Level","2443.1","XXX","Stream Chemistry (daily)","1970-04-07","2025-11-04"
"🌱 Phytoplankton of LTER Lakes","1557.5","2026-07-07","Groups & Total Biomass","1969-02-05","2025-11-05"
"🌱 Phytoplankton of LTER Lakes","1557.5","2026-07-07","Species Abd, Biom, Cell Vol","1969-02-05","2025-11-05"
